"authorMeta/avatar","authorMeta/digg","authorMeta/fans","authorMeta/following","authorMeta/heart","authorMeta/id","authorMeta/name","authorMeta/nickName","authorMeta/signature","authorMeta/verified","authorMeta/video","commentCount","createTime","diggCount","downloaded","effectStickers/0/ID","effectStickers/0/name","hashtags/0/cover","hashtags/0/id","hashtags/0/name","hashtags/0/title","hashtags/1/cover","hashtags/1/id","hashtags/1/name","hashtags/1/title","hashtags/2/cover","hashtags/2/id","hashtags/2/name","hashtags/2/title","hashtags/3/cover","hashtags/3/id","hashtags/3/name","hashtags/3/title","hashtags/4/cover","hashtags/4/id","hashtags/4/name","hashtags/4/title","hashtags/5/cover","hashtags/5/id","hashtags/5/name","hashtags/5/title","hashtags/6/cover","hashtags/6/id","hashtags/6/name","hashtags/6/title","hashtags/7/cover","hashtags/7/id","hashtags/7/name","hashtags/7/title","hashtags/8/cover","hashtags/8/id","hashtags/8/name","hashtags/8/title","hashtags/9/cover","hashtags/9/id","hashtags/9/name","hashtags/9/title","hashtags/10/cover","hashtags/10/id","hashtags/10/name","hashtags/10/title","hashtags/11/cover","hashtags/11/id","hashtags/11/name","hashtags/11/title","hashtags/12/cover","hashtags/12/id","hashtags/12/name","hashtags/12/title","hashtags/13/cover","hashtags/13/id","hashtags/13/name","hashtags/13/title","hashtags/14/cover","hashtags/14/id","hashtags/14/name","hashtags/14/title","hashtags/15/cover","hashtags/15/id","hashtags/15/name","hashtags/15/title","hashtags/16/cover","hashtags/16/id","hashtags/16/name","hashtags/16/title","hashtags/17/cover","hashtags/17/id","hashtags/17/name","hashtags/17/title","hashtags/18/cover","hashtags/18/id","hashtags/18/name","hashtags/18/title","hashtags/19/cover","hashtags/19/id","hashtags/19/name","hashtags/19/title","hashtags/20/cover","hashtags/20/id","hashtags/20/name","hashtags/20/title","hashtags/21/cover","hashtags/21/id","hashtags/21/name","hashtags/21/title","hashtags/22/cover","hashtags/22/id","hashtags/22/name","hashtags/22/title","hashtags/23/cover","hashtags/23/id","hashtags/23/name","hashtags/23/title","hashtags/24/cover","hashtags/24/id","hashtags/24/name","hashtags/24/title","hashtags/25/cover","hashtags/25/id","hashtags/25/name","hashtags/25/title","hashtags/26/cover","hashtags/26/id","hashtags/26/name","hashtags/26/title","id","mediaUrls/0","mentions/0","musicMeta/musicAlbum","musicMeta/musicAuthor","musicMeta/musicName","musicMeta/musicOriginal","musicMeta/playUrl","playCount","searchHashtag/name","searchHashtag/views","shareCount","text","videoMeta/duration","videoMeta/height","videoMeta/width","webVideoUrl"
"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/53768a2a2d835230e8273ac580804862~c5_720x720.jpeg?x-expires=1648839600&x-signature=4GdbChAlTZzz4wWASah2bubyYTw%3D","343","689","66","11000","7067560698116932613","ameliam1979","Amelia Macioszek","Just livin life","false","31","78","1646082202","9987","false","460598","Green Screen Video","","1658987693089798","volodymyrzelensky","","","7059063993599524869","russiaandukrainewar","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7069869220145745158","https://v16m-webapp.tiktokcdn-us.com/fcce5f3f3afa53563aba25826815f031/62465353/video/tos/useast2a/tos-useast2a-ve-0068c004/d859106083c143dbac7e02e84b73d993/?a=1988&br=488&bt=244&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XY53A3E7nz7Th0~zzDXq&l=202203311920130101131350440AF1AC73&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=Mzg7cWc6ZjhtOzMzNzczM0ApZjc2OmU6OmRmN2c3ZTtpNmdrcWJzcjRvZWJgLS1kMTZzcy0uLWIuL2IyM2NhXjQwXzQ6Yw%3D%3D&vl=&vr=",,"Dancing With Your Ghost","Sasha Alex Sloan","Dancing With Your Ghost","false","https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/205b710558934dbd8a1f28690fba0285","83900","russiaandukrainewar","1.2M","26","#volodymyrzelensky #russiaandukrainewar","6","1024","576","https://www.tiktok.com/@ameliam1979/video/7069869220145745158"
"https://p77-sign-va-lite.tiktokcdn.com/tos-maliva-avt-0068/3b5b5129ac951bb879618da790352de8~c5_720x720.jpeg?x-expires=1648839600&x-signature=sLCrz04%2B72xQoTEO27ccG00yrUM%3D","3717","140500","80","2200000","6918516872497742849","afgfamily_official","Afg Family","🇦🇫
Don’t forget to Subscribe to our YouTube channel. Thanks 👇🏻🙏🏻","false","380","63","1648743778","2856","false",,,"","1384998","afghanistan","","","14927","russia","Для большего шанса попасть в #Отобранное и найти мьюзеров из Вашей страны, ставьте под своими видео #Russia, не забывайте!!","","451042","ukraine","","","1662010834557094","doubleprice","","","42801","uk","","","20285","expensive","","","10338816","lifeintheuk","","","7059063993599524869","russiaandukrainewar","","","42164","foryou","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7081300604995292422","https://v16m-webapp.tiktokcdn-us.com/1935a04199514532d10fb3654850344e/62465387/video/tos/useast2a/tos-useast2a-ve-0068c002/cf675566099a4cae810aaff8adbdd1aa/?a=1988&br=5782&bt=2891&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XY53A3E7nz7Th0~zzDXq&l=202203311920130101131350440AF1AC73&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M2Y2ODk6Zmp3PDMzNzczM0ApNTo6PDs4aWRkNzw6OmY4aGdhc3M2cjQwMi9gLS1kMTZzc18vLS5jMjUyLWFjNjJeLTI6Yw%3D%3D&vl=&vr=",,"","Afg Family","original sound","true","https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7081300608842222342.mp3","17200","russiaandukrainewar","1.2M","12","#afghanistan #russia #Ukraine  #doubleprice #uk #expensive #lifeintheuk #russiaandukrainewar #foryou","58","1024","576","https://www.tiktok.com/@afgfamily_official/video/7081300604995292422"
"https://p16-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/ab6d6048eab90ff622a079f21c60de49~c5_720x720.jpeg?x-expires=1648839600&x-signature=81gKM5b72gKdXwRpByO5kYjX%2FiI%3D","686","346","4","2680","7058066298320815151","rosy_strawberrys","✨TU MADRE ✨","😫suaveee😫","false","2","120","1645911338","2587","false",,,"","3929694","gacha","","","451042","ukraine","","","1592400787869701","🇺🇦","","","1599802780199941","gachalife","","","7059063993599524869","russiaandukrainewar","","","229207","fyp","","","20884","viral","","","5884","mistake","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7069135365038165291","https://v16m-webapp.tiktokcdn-us.com/d70ae9d046e1f8dfb59c4c7d40201560/62465353/video/tos/useast5/tos-useast5-ve-0068c004-tx/5a148cc7a30541539ca06a98ecf30f9e/?a=1988&br=1254&bt=627&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XY53A3E7nz7Th0~zzDXq&l=202203311920130101131350440AF1AC73&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=amY1Ojo6Zjw8OzMzZzczNEApOTlpaWQ7Z2Q0N2dkZGdmZmcuLTAycjRfbmFgLS1kMS9zc181LV8wL14zNl9jYV8wNS46Yw%3D%3D&vl=&vr=","@sad_hubsss)#gacha#ukraine#🇺🇦#gachalife#russiaandukrainewar#fyp#viral#mistake","","✨TU MADRE ✨","original sound","true","https://sf16.tiktokcdn-us.com/obj/ies-music-tx/7069135747890170667.mp3","15100","russiaandukrainewar","1.2M","19","A bit rushed (Credits to@sad_hubsss)#gacha#ukraine#🇺🇦#gachalife#russiaandukrainewar#fyp#viral#mistake","6","678","576","https://www.tiktok.com/@rosy_strawberrys/video/7069135365038165291"
"https://p19-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/0e93bb131446776190f836da303eb137~c5_720x720.jpeg?x-expires=1648839600&x-signature=fEU5Y%2BPJlyhWYjH0E9KCb5hpG3U%3D","714","3342","484","3910","7069148985992807470","happybrownmonkey","Happy Brown Monkey","Monkey See
Monkey Do
🤣Random 🎥Clips From the Web
Viewer Discretion Advised","false","12","39","1648194214","852","false",,,"","7069514045677633541","russiainvasion2022","","","7068419482053853231","russiaukraineinvasion2022","","","7839742","notowar","","","1658252962498566","ukranianwar","","","21156","soldier","","","2030523","prayforpeace","","","429310","lovenotwar","Love Not War... 💖🔫

How to join: 
1) Click on the shoot button. 
2) Shoot your videos with the recommended soundtrack. 
3) Have fun! And don't forget to add #LoveNotWar to your captions!","","7059063993599524869","russiaandukrainewar","","","1592305339755526","russia🇷🇺","","","1592381310170118","ukraine🇺🇦","","","42801","uk","","","13262","us","","","181481","au","","","8797","eu","","","70427","poland","","","210454","greetings","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7078940235089841451","https://v16m-webapp.tiktokcdn-us.com/511864776a047421bd4f573e6b3e6d15/62465356/video/tos/useast5/tos-useast5-pve-0068-tx/7c4ed7c7734342faa645c121ab86e825/?a=1988&br=4664&bt=2332&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XY53A3E7nz7Th0~zzDXq&l=202203311920130101131350440AF1AC73&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M283eTg6ZnBwOzMzZzczNEApOGU5Mzk1aDw0Nzo0OTg4NWdzZjBscjQwcnJgLS1kMS9zc2IyYy5hLjJhYDA0MF4wMmA6Yw%3D%3D&vl=&vr=",,"","Baby Yoda","Originalton","true","https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6909167538153097986.mp3","30600","russiaandukrainewar","1.2M","29","Greetings #russiainvasion2022 #russiaukraineinvasion2022 #Notowar #ukranianwar #soldier #prayforpeace #lovenotwar #russiaandukrainewar #russia🇷🇺 #ukraine🇺🇦 #uk #us #au #eu #poland #greetings","9","1024","576","https://www.tiktok.com/@happybrownmonkey/video/7078940235089841451"
"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/53768a2a2d835230e8273ac580804862~c5_720x720.jpeg?x-expires=1648839600&x-signature=4GdbChAlTZzz4wWASah2bubyYTw%3D","343","689","66","11000","7067560698116932613","ameliam1979","Amelia Macioszek","Just livin life","false","31","6","1646081481","599","false","460598","Green Screen Video","","1658987693089798","volodymyrzelensky","","","7059063993599524869","russiaandukrainewar","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7069866121838562565","https://v16m-webapp.tiktokcdn-us.com/cbda9e9637acd842f4148b9cf89c005c/62465356/video/tos/useast2a/tos-useast2a-ve-0068c001/71a8cf44574d46b489f36ff6e8d03003/?a=1988&br=762&bt=381&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XY53A3E7nz7Th0~zzDXq&l=202203311920130101131350440AF1AC73&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=anZtaWQ6ZmttOzMzNzczM0ApOTRpNGk3NmQ4N2RoNTxlNmc1XzBicjRfX2JgLS1kMTZzc2A2L2BhLy8xX140XjI0NF86Yw%3D%3D&vl=&vr=",,"","🦋","dźwięk oryginalny","true","https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7058296432515943174.mp3","12500","russiaandukrainewar","1.2M","11","#volodymyrzelensky #russiaandukrainewar","10","1024","576","https://www.tiktok.com/@ameliam1979/video/7069866121838562565"
"https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/678f0620740b8103a128d7e51b6e4fd8~c5_720x720.jpeg?x-expires=1648839600&x-signature=ksvUIGCuIeblPUxqPvYUw6P80Eg%3D","560","74800","176","474800","6958587760790848514","ballhoops7","BASKETBALL HUB","🔥 LEBRON JAMES FANS 😍
     🥰ROAD TO 100K 🤩
❤️NBA CONTENT CREATOR 🏀","false","132","3","1645781869","598","false",,,"","20105","trending","","","7910912","nbaedits","","","1672334113327106","nbasportsworld","","","1637342470396934","fypシ","","","7059063993599524869","russiaandukrainewar","","","1559332","sacramentokings","","","6340347","denvernuggets","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7068579295739792667","https://v16m-webapp.tiktokcdn-us.com/462b21a84fb8ca3b5671e7a1f45d8cc5/62465364/video/tos/useast2a/tos-useast2a-pve-0037-aiso/c0dea221588040848a88305bea293cf8/?a=1988&br=2766&bt=1383&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XY53A3E7nz7Th0~zzDXq&l=202203311920130101131350440AF1AC73&lr=tiktok&mime_type=video_mp4&net=0&pl=0&qs=0&rc=MzM3dWQ6ZjlkOzMzZjgzM0ApZ2Q2aTZmO2U1N2Y4O2hnOmdyLy8tcjRnMWBgLS1kL2Nzc141NmEtNDE2YjUxYC5gXjY6Yw%3D%3D&vl=&vr=",,"Ghost","Justin Bieber","Ghost","false","https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/54d0ee9ef01e453481909f7af6b4b141","7050","russiaandukrainewar","1.2M","5","#trending #nbaedits #nbasportsworld #fypシ #russiaandukrainewar #sacramentokings #denvernuggets","23","736","576","https://www.tiktok.com/@ballhoops7/video/7068579295739792667"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/5e046dab8ad061cac403be3cef1e273d~c5_720x720.jpeg?x-expires=1648839600&x-signature=B4jPNGUJG7RAzpdI7WOJxZaJkEA%3D","2568","6063","5366","18900","6874993040096805893","ebelglamour","Ebelglamour","Just being me🙃","false","91","224","1645768625","586","false",,,"","7059063993599524869","russiaandukrainewar","","","1681398341533698","nigeriatiktok🇳🇬🇳🇬🇳🇬","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7068522405425106182","https://v16m-webapp.tiktokcdn-us.com/8e9fd6cdaae4753c4322fe4c4706c45f/62465357/video/tos/useast2a/tos-useast2a-ve-0068c003/72422729645846febbe6d37865f4facd/?a=1988&br=436&bt=218&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XY53A3E7nz7Th0~zzDXq&l=202203311920130101131350440AF1AC73&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M3Q5Zzk6ZmQ5OzMzNzczM0ApZTY0ZjxnOjxlN2Q7NThlOmdham5ncjRnc2BgLS1kMTZzcy0wMzQvMy4wMTJeNDMtLWA6Yw%3D%3D&vl=&vr=",,"Omo Ope","Asake","Omo Ope (feat. Olamide)","false","https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/c0b6e14aa70146e58b66c9b4e05f446b","20700","russiaandukrainewar","1.2M","145","#russiaandukrainewar#nigeriatiktok🇳🇬🇳🇬🇳🇬 if una know Buhari make una warm am o,we prefer our fuel scarcity than war ooo","10","960","540","https://www.tiktok.com/@ebelglamour/video/7068522405425106182"
"https://p19-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/65a0716a92210536a0269364e8908464~c5_720x720.jpeg?x-expires=1648839600&x-signature=VDRaPPQYEx1FaHUmFLXqBDXuu8g%3D","3683","1331","2255","4207","6927815924180468741","fwnorv","Nor","Join Server","false","115","78","1645905141","508","false",,,"","229207","fyp","","","6125329","antii","","","84477489","anitok","","","451042","ukraine","","","14927","russia","Для большего шанса попасть в #Отобранное и найти мьюзеров из Вашей страны, ставьте под своими видео #Russia, не забывайте!!","","7059063993599524869","russiaandukrainewar","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7069108749969001774","https://v16m-webapp.tiktokcdn-us.com/b2188b899ff9c99968aa3ba779f7da46/62465361/video/tos/useast5/tos-useast5-ve-0068c001-tx/e6ea2b7b66f44490b815791bbbc6094a/?a=1988&br=1158&bt=579&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XY53A3E7nz7Th0~zzDXq&l=202203311920130101131350440AF1AC73&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=amlkMzo6Zms7OzMzZzczNEApODxoOWk5NGQ3NzpoZTo2NWdmZWkvcjRvNmFgLS1kMS9zczFjLzM1NmNiNF4wNjUtLmA6Yw%3D%3D&vl=&vr=",,"","Nor","original sound","true","https://sf16.tiktokcdn-us.com/obj/ies-music-tx/7069108750149274411.mp3","4340","russiaandukrainewar","1.2M","3","#fyp #antii #anitok #ukraine #russia #russiaandukrainewar","20","1024","576","https://www.tiktok.com/@fwnorv/video/7069108749969001774"
"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/30c3dd6a61256ff5a026df6495c43389~c5_720x720.jpeg?x-expires=1648839600&x-signature=hSLilj51Ye6UvFYkoahf8B8jLh0%3D","36000","387","1502","6545","6950336933256086534","quack1tysscar","Ashon <33","Ashon/Q
Gender-fluid, Poly, Pansexual
Capcut<3 = QUACKITY<33 (/p)","false","96","12","1645729200","479","false",,,"","229207","fyp","","","42164","foryou","","","451042","ukraine","","","14927","russia","Для большего шанса попасть в #Отобранное и найти мьюзеров из Вашей страны, ставьте под своими видео #Russia, не забывайте!!","","2085220","ww3","","","1713","war","","","1706163923699713","ukrainevsrassia","","","40769301","russiaandukraine","","","7059063993599524869","russiaandukrainewar","","","1637403385093126","foryou?","","","7566","scary","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7068353087890623750","https://v16m-webapp.tiktokcdn-us.com/149b9c51ab7ae25cb658925883eaaf0e/62465352/video/tos/useast2a/tos-useast2a-ve-0068c003/477443e11f1d4308b70da2360edd183a/?a=1988&br=1028&bt=514&cd=0%7C0%7C0%7C0&ch=0&cr=0&cs=0&dr=0&ds=2&er=&ft=XY53A3E7nz7Th0~zzDXq&l=202203311920130101131350440AF1AC73&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=amQ3NzU6Zml3OzMzNzczM0ApNmVpNTYzNjw4N2VkMzc0M2dhYW1ycjRvXl9gLS1kMTZzc2AzMS02LmI0Li4tLTRgLi86Yw%3D%3D&vl=&vr=",,"","Ashon <33","original sound","true","https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7068353073114401541.mp3","4252","russiaandukrainewar","1.2M","3","Guess I'm not getting sleep- :/ || #fyp #foryou #ukraine #russia #ww3 #war #ukrainevsrassia #russiaandukraine #russiaandukrainewar #foryou? #scary","5","480","480","https://www.tiktok.com/@quack1tysscar/video/7068353087890623750"
